|country                         |total_cases    |total_deaths |
|Jordan                          |1,882,412,756  |16,659,044   |
|Kazakhstan                      |1,632,354,780  |21,854,725   |
|Kenya                           |396,818,156    |6,828,974    |
|Kiribati                        |3,985,166      |17,195       |
|Kosovo                          |292,633,052    |3,950,526    |
|Kuwait                          |753,310,139    |3,235,121    |
|Kyrgyzstan                      |92,963,301     |1,074,173    |
|Laos                            |204,029,128    |638,329      |
|Latvia                          |910,524,179    |7,591,821    |
|Lebanon                         |1,327,975,384  |12,754,307   |
|Lesotho                         |38,259,127     |822,789      |
|Liberia                         |9,139,185      |363,489      |
|Libya                           |567,271,215    |7,449,390    |
|Liechtenstein                   |19,991,699     |103,297      |
|Lithuania                       |1,295,043,016  |10,598,164   |
|Low-income countries            |2,161,458,124  |50,805,016   |
|Lower-middle-income countries   |100,873,065,026|1,385,814,325|
|Luxembourg                      |351,498,408    |1,107,840    |
|Macao                           |0              |0            |
|Madagascar                      |79,183,757     |1,633,870    |
|Malawi                          |100,075,789    |3,103,245    |
|Malaysia                        |5,022,590,588  |38,732,392   |
|Maldives                        |194,933,162    |357,806      |
|Mali                            |36,180,956     |906,200      |
|Malta                           |117,669,365    |945,740      |
|Marshall Islands                |11,360,511     |12,162       |
|Martinique                      |206,231,737    |1,099,516    |
|Mauritania                      |69,834,153     |1,221,370    |
|Mauritius                       |270,056,038    |1,012,335    |
|Mayotte                         |45,751,019     |242,541      |
|Mexico                          |7,898,943,675  |421,274,105  |
|Micronesia (country)            |17,763,598     |43,794       |
|Moldova                         |663,306,072    |13,923,422   |
|Monaco                          |15,551,763     |71,194       |
|Mongolia                        |1,005,076,439  |2,260,525    |
|Montenegro                      |264,785,851    |3,036,965    |
|Montserrat                      |1,130,020      |7,246        |
|Morocco                         |1,454,640,647  |19,800,811   |
|Mozambique                      |256,098,263    |2,557,805    |
|Myanmar                         |701,872,757    |21,898,862   |
|Namibia                         |192,449,394    |4,577,838    |
|Nauru                           |3,945,644      |764          |
|Nepal                           |1,166,084,850  |14,275,973   |
|Netherlands                     |8,470,265,208  |29,685,633   |
|New Caledonia                   |69,936,978     |318,807      |
|New Zealand                     |1,820,980,916  |2,438,814    |
|Nicaragua                       |18,282,538     |325,885      |
|Niger                           |11,174,056     |390,866      |
|Nigeria                         |324,553,353    |4,011,026    |
|Niue                            |540,564        |0            |
|North America                   |127,073,670,231|1,880,636,077|
