|continent    |date      |cases_per_million|countries_in_continent|
|South America|2020-02-21|0                |14                    |
|Asia         |2020-02-22|14.5849390643    |49                    |
|             |2020-02-22|8.5050018017     |12                    |
|Oceania      |2020-02-22|0.3330453823     |24                    |
|Europe       |2020-02-22|0.1404849033     |51                    |
|North America|2020-02-22|0.0516388112     |41                    |
|Africa       |2020-02-22|0.0007011833     |57                    |
|South America|2020-02-22|0                |14                    |
|Asia         |2020-02-23|16.5161958099    |49                    |
|             |2020-02-23|9.6477123984     |12                    |
|Oceania      |2020-02-23|0.4884665607     |24                    |
|Europe       |2020-02-23|0.2729420979     |51                    |
|North America|2020-02-23|0.0832884052     |41                    |
|Africa       |2020-02-23|0.0007011833     |57                    |
|South America|2020-02-23|0                |14                    |
|Asia         |2020-02-24|16.5161958099    |49                    |
|             |2020-02-24|9.6477123984     |12                    |
|Oceania      |2020-02-24|0.4884665607     |24                    |
|Europe       |2020-02-24|0.2729420979     |51                    |
|North America|2020-02-24|0.0832884052     |41                    |
|Africa       |2020-02-24|0.0007011833     |57                    |
|South America|2020-02-24|0                |14                    |
|Asia         |2020-02-25|16.5161958099    |49                    |
|             |2020-02-25|9.6477123984     |12                    |
|Oceania      |2020-02-25|0.4884665607     |24                    |
|Europe       |2020-02-25|0.2729420979     |51                    |
|North America|2020-02-25|0.0832884052     |41                    |
|Africa       |2020-02-25|0.0007011833     |57                    |
|South America|2020-02-25|0                |14                    |
|Asia         |2020-02-26|16.5161958099    |49                    |
|             |2020-02-26|9.6477123984     |12                    |
|Oceania      |2020-02-26|0.4884665607     |24                    |
|Europe       |2020-02-26|0.2729420979     |51                    |
|North America|2020-02-26|0.0832884052     |41                    |
|Africa       |2020-02-26|0.0007011833     |57                    |
|South America|2020-02-26|0                |14                    |
|Asia         |2020-02-27|16.5161958099    |49                    |
|             |2020-02-27|9.6477123984     |12                    |
|Oceania      |2020-02-27|0.4884665607     |24                    |
|Europe       |2020-02-27|0.2729420979     |51                    |
|North America|2020-02-27|0.0832884052     |41                    |
|Africa       |2020-02-27|0.0007011833     |57                    |
|South America|2020-02-27|0                |14                    |
|Asia         |2020-02-28|16.5161958099    |49                    |
|             |2020-02-28|9.6477123984     |12                    |
|Oceania      |2020-02-28|0.4884665607     |24                    |
|Europe       |2020-02-28|0.2729420979     |51                    |
|North America|2020-02-28|0.0832884052     |41                    |
|Africa       |2020-02-28|0.0007011833     |57                    |
|South America|2020-02-28|0                |14                    |
|Asia         |2020-02-29|16.5161958099    |49                    |
|             |2020-02-29|9.6477123984     |12                    |
|Oceania      |2020-02-29|0.4884665607     |24                    |
|Europe       |2020-02-29|0.2729420979     |51                    |
|North America|2020-02-29|0.0832884052     |41                    |
|Africa       |2020-02-29|0.0007011833     |57                    |
|South America|2020-02-29|0                |14                    |
|Asia         |2020-03-01|17.9403308435    |49                    |
|             |2020-03-01|10.7233496906    |12                    |
|Europe       |2020-03-01|2.2705036278     |51                    |
|Oceania      |2020-03-01|0.5772786626     |24                    |
|North America|2020-03-01|0.1565822018     |41                    |
|South America|2020-03-01|0.0045785797     |14                    |
|Africa       |2020-03-01|0.0021035499     |57                    |
|Asia         |2020-03-02|17.9403308435    |49                    |
|             |2020-03-02|10.7233496906    |12                    |
|Europe       |2020-03-02|2.2705036278     |51                    |
|Oceania      |2020-03-02|0.5772786626     |24                    |
|North America|2020-03-02|0.1565822018     |41                    |
|South America|2020-03-02|0.0045785797     |14                    |
|Africa       |2020-03-02|0.0021035499     |57                    |
|Asia         |2020-03-03|17.9403308435    |49                    |
|             |2020-03-03|10.7233496906    |12                    |
|Europe       |2020-03-03|2.2705036278     |51                    |
|Oceania      |2020-03-03|0.5772786626     |24                    |
|North America|2020-03-03|0.1565822018     |41                    |
|South America|2020-03-03|0.0045785797     |14                    |
|Africa       |2020-03-03|0.0021035499     |57                    |
|Asia         |2020-03-04|17.9403308435    |49                    |
|             |2020-03-04|10.7233496906    |12                    |
|Europe       |2020-03-04|2.2705036278     |51                    |
|Oceania      |2020-03-04|0.5772786626     |24                    |
|North America|2020-03-04|0.1565822018     |41                    |
|South America|2020-03-04|0.0045785797     |14                    |
|Africa       |2020-03-04|0.0021035499     |57                    |
|Asia         |2020-03-05|17.9403308435    |49                    |
|             |2020-03-05|10.7233496906    |12                    |
|Europe       |2020-03-05|2.2705036278     |51                    |
|Oceania      |2020-03-05|0.5772786626     |24                    |
|North America|2020-03-05|0.1565822018     |41                    |
|South America|2020-03-05|0.0045785797     |14                    |
|Africa       |2020-03-05|0.0021035499     |57                    |
|Asia         |2020-03-06|17.9403308435    |49                    |
|             |2020-03-06|10.7233496906    |12                    |
|Europe       |2020-03-06|2.2705036278     |51                    |
|Oceania      |2020-03-06|0.5772786626     |24                    |
|North America|2020-03-06|0.1565822018     |41                    |
|South America|2020-03-06|0.0045785797     |14                    |
|Africa       |2020-03-06|0.0021035499     |57                    |
|Asia         |2020-03-07|17.9403308435    |49                    |
|             |2020-03-07|10.7233496906    |12                    |
|Europe       |2020-03-07|2.2540194367     |52                    |
|Oceania      |2020-03-07|0.5772786626     |24                    |
|North America|2020-03-07|0.1565822018     |41                    |
|South America|2020-03-07|0.0045785797     |14                    |
|Africa       |2020-03-07|0.0021035499     |57                    |
|Asia         |2020-03-08|20.1291732206    |49                    |
|Europe       |2020-03-08|14.4711501252    |52                    |
|             |2020-03-08|13.5536952752    |12                    |
|Oceania      |2020-03-08|1.6652269115     |24                    |
|North America|2020-03-08|0.9578166599     |41                    |
|South America|2020-03-08|0.1602502912     |14                    |
|Africa       |2020-03-08|0.0560946639     |57                    |
|Asia         |2020-03-09|20.1291732206    |49                    |
|Europe       |2020-03-09|14.4711501252    |52                    |
|             |2020-03-09|13.5536952752    |12                    |
|Oceania      |2020-03-09|1.6652269115     |24                    |
|North America|2020-03-09|0.9578166599     |41                    |
|South America|2020-03-09|0.1602502912     |14                    |
|Africa       |2020-03-09|0.0560946639     |57                    |
|Asia         |2020-03-10|20.1291732206    |49                    |
|Europe       |2020-03-10|14.434798413     |53                    |
|             |2020-03-10|13.5536952752    |12                    |
|Oceania      |2020-03-10|1.6652269115     |24                    |
|North America|2020-03-10|0.9578166599     |41                    |
|South America|2020-03-10|0.1602502912     |14                    |
|Africa       |2020-03-10|0.0560946639     |57                    |
|Asia         |2020-03-11|20.1291732206    |49                    |
|Europe       |2020-03-11|14.434798413     |53                    |
|             |2020-03-11|13.5536952752    |12                    |
|Oceania      |2020-03-11|1.6652269115     |24                    |
|North America|2020-03-11|0.9578166599     |41                    |
|South America|2020-03-11|0.1602502912     |14                    |
|Africa       |2020-03-11|0.0560946639     |57                    |
|Asia         |2020-03-12|20.1291732206    |49                    |
|Europe       |2020-03-12|14.434798413     |53                    |
|             |2020-03-12|13.5536952752    |12                    |
|Oceania      |2020-03-12|1.6652269115     |24                    |
|North America|2020-03-12|0.9578166599     |41                    |
|South America|2020-03-12|0.1602502912     |14                    |
|Africa       |2020-03-12|0.0560946639     |57                    |
|Asia         |2020-03-13|20.1291732206    |49                    |
|Europe       |2020-03-13|14.434798413     |53                    |
|             |2020-03-13|13.5536952752    |12                    |
|Oceania      |2020-03-13|1.6652269115     |24                    |
|North America|2020-03-13|0.9578166599     |41                    |
|South America|2020-03-13|0.1602502912     |14                    |
|Africa       |2020-03-13|0.0560946639     |57                    |
|Asia         |2020-03-14|20.1291732206    |49                    |
|Europe       |2020-03-14|14.434798413     |53                    |
|             |2020-03-14|13.5536952752    |12                    |
|Oceania      |2020-03-14|1.6652269115     |24                    |
|North America|2020-03-14|0.9578166599     |41                    |
|South America|2020-03-14|0.1602502912     |14                    |
|Africa       |2020-03-14|0.0560946639     |57                    |
|Europe       |2020-03-15|74.9682086648    |53                    |
|             |2020-03-15|22.652047326     |12                    |
|Asia         |2020-03-15|22.2743785582    |49                    |
|North America|2020-03-15|7.3826842376     |41                    |
|Oceania      |2020-03-15|5.7727866265     |24                    |
|South America|2020-03-15|0.9431874281     |14                    |
|Africa       |2020-03-15|0.2201715557     |57                    |
|Europe       |2020-03-16|74.9682086648    |53                    |
|             |2020-03-16|22.652047326     |12                    |
|Asia         |2020-03-16|22.2743785582    |49                    |
|North America|2020-03-16|7.3826842376     |41                    |
