|continent    |date      |cases_per_million|countries_in_continent|
|             |2022-01-15|30,087.9327916669 |12                    |
|Asia         |2022-01-15|18,341.5645244485 |51                    |
|Africa       |2022-01-15|7,197.8078311936  |57                    |
|Europe       |2022-01-16|129,640.0913260696|55                    |
|North America|2022-01-16|128,686.0547626228|41                    |
|South America|2022-01-16|98,366.1477816418 |14                    |
|Oceania      |2022-01-16|42,215.8779297198 |24                    |
|             |2022-01-16|32,182.828895292  |12                    |
|Asia         |2022-01-16|19,069.4030456252 |51                    |
|Africa       |2022-01-16|7,399.5698194186  |57                    |
|Europe       |2022-01-17|129,640.0913260696|55                    |
|North America|2022-01-17|128,686.0547626228|41                    |
|South America|2022-01-17|98,366.1477816418 |14                    |
|Oceania      |2022-01-17|42,215.8779297198 |24                    |
|             |2022-01-17|32,182.828895292  |12                    |
|Asia         |2022-01-17|19,069.4030456252 |51                    |
|Africa       |2022-01-17|7,399.5698194186  |57                    |
|Europe       |2022-01-18|129,640.0913260696|55                    |
|North America|2022-01-18|128,686.0547626228|41                    |
|South America|2022-01-18|98,366.1477816418 |14                    |
|Oceania      |2022-01-18|42,215.8779297198 |24                    |
|             |2022-01-18|32,182.828895292  |12                    |
|Asia         |2022-01-18|19,069.4030456252 |51                    |
|Africa       |2022-01-18|7,399.5698194186  |57                    |
|Europe       |2022-01-19|129,640.0913260696|55                    |
|North America|2022-01-19|128,686.0547626228|41                    |
|South America|2022-01-19|98,366.1477816418 |14                    |
|Oceania      |2022-01-19|42,215.8779297198 |24                    |
|             |2022-01-19|32,182.828895292  |12                    |
|Asia         |2022-01-19|19,069.4030456252 |51                    |
|Africa       |2022-01-19|7,399.5698194186  |57                    |
|Europe       |2022-01-20|129,640.0913260696|55                    |
|North America|2022-01-20|128,686.0547626228|41                    |
|South America|2022-01-20|98,366.1477816418 |14                    |
|Oceania      |2022-01-20|42,215.8779297198 |24                    |
|             |2022-01-20|32,182.828895292  |12                    |
|Asia         |2022-01-20|19,069.4030456252 |51                    |
|Africa       |2022-01-20|7,399.5698194186  |57                    |
|Europe       |2022-01-21|129,640.0913260696|55                    |
|North America|2022-01-21|128,686.0547626228|41                    |
|South America|2022-01-21|98,366.1477816418 |14                    |
|Oceania      |2022-01-21|42,215.8779297198 |24                    |
|             |2022-01-21|32,182.828895292  |12                    |
|Asia         |2022-01-21|19,069.4030456252 |51                    |
|Africa       |2022-01-21|7,399.5698194186  |57                    |
|Europe       |2022-01-22|129,640.0913260696|55                    |
|North America|2022-01-22|128,686.0547626228|41                    |
|South America|2022-01-22|98,366.1477816418 |14                    |
|Oceania      |2022-01-22|42,215.8779297198 |24                    |
|             |2022-01-22|32,182.828895292  |12                    |
|Asia         |2022-01-22|19,069.4030456252 |51                    |
|Africa       |2022-01-22|7,399.5698194186  |57                    |
|Europe       |2022-01-23|141,861.7108174589|55                    |
|North America|2022-01-23|138,535.6249587212|41                    |
|South America|2022-01-23|103,992.1051183121|14                    |
|Oceania      |2022-01-23|50,117.7348730954 |24                    |
|             |2022-01-23|34,589.3712134784 |12                    |
|Asia         |2022-01-23|20,041.981152525  |51                    |
|Africa       |2022-01-23|7,586.4660205322  |57                    |
|Europe       |2022-01-24|141,861.7108174589|55                    |
|North America|2022-01-24|138,535.6249587212|41                    |
|South America|2022-01-24|103,992.1051183121|14                    |
|Oceania      |2022-01-24|50,117.7348730954 |24                    |
|             |2022-01-24|34,589.3712134784 |12                    |
|Asia         |2022-01-24|20,041.981152525  |51                    |
|Africa       |2022-01-24|7,586.4660205322  |57                    |
|Europe       |2022-01-25|141,861.7108174589|55                    |
|North America|2022-01-25|138,535.6249587212|41                    |
|South America|2022-01-25|103,992.1051183121|14                    |
|Oceania      |2022-01-25|50,117.7348730954 |24                    |
|             |2022-01-25|34,589.3712134784 |12                    |
|Asia         |2022-01-25|20,041.981152525  |51                    |
|Africa       |2022-01-25|7,586.4660205322  |57                    |
|Europe       |2022-01-26|141,861.7108174589|55                    |
|North America|2022-01-26|138,535.6249587212|41                    |
|South America|2022-01-26|103,992.1051183121|14                    |
|Oceania      |2022-01-26|50,117.7348730954 |24                    |
|             |2022-01-26|34,589.3712134784 |12                    |
|Asia         |2022-01-26|20,041.981152525  |51                    |
|Africa       |2022-01-26|7,586.4660205322  |57                    |
|Europe       |2022-01-27|141,861.7108174589|55                    |
|North America|2022-01-27|138,535.6249587212|41                    |
|South America|2022-01-27|103,992.1051183121|14                    |
|Oceania      |2022-01-27|50,117.7348730954 |24                    |
|             |2022-01-27|34,589.3712134784 |12                    |
|Asia         |2022-01-27|20,041.981152525  |51                    |
|Africa       |2022-01-27|7,586.4660205322  |57                    |
|Europe       |2022-01-28|141,861.7108174589|55                    |
|North America|2022-01-28|138,535.6249587212|41                    |
|South America|2022-01-28|103,992.1051183121|14                    |
|Oceania      |2022-01-28|50,117.7348730954 |24                    |
|             |2022-01-28|34,589.3712134784 |12                    |
|Asia         |2022-01-28|20,041.981152525  |51                    |
|Africa       |2022-01-28|7,586.4660205322  |57                    |
|Europe       |2022-01-29|141,861.7108174589|55                    |
|North America|2022-01-29|138,535.6249587212|41                    |
|South America|2022-01-29|103,992.1051183121|14                    |
|Oceania      |2022-01-29|50,117.7348730954 |24                    |
|             |2022-01-29|34,589.3712134784 |12                    |
|Asia         |2022-01-29|20,041.981152525  |51                    |
|Africa       |2022-01-29|7,586.4660205322  |57                    |
|Europe       |2022-01-30|155,416.3569078602|55                    |
|North America|2022-01-30|145,911.2729918621|41                    |
|South America|2022-01-30|109,876.9513789559|14                    |
|Oceania      |2022-01-30|56,391.9990331915 |24                    |
|             |2022-01-30|37,004.0455529966 |12                    |
|Asia         |2022-01-30|21,069.6858957674 |51                    |
|Africa       |2022-01-30|7,760.8089370529  |57                    |
|Europe       |2022-01-31|155,416.3569078602|55                    |
|North America|2022-01-31|145,911.2729918621|41                    |
|South America|2022-01-31|109,876.9513789559|14                    |
|Oceania      |2022-01-31|56,391.9990331915 |24                    |
|             |2022-01-31|37,004.0455529966 |12                    |
|Asia         |2022-01-31|21,069.6858957674 |51                    |
|Africa       |2022-01-31|7,760.8089370529  |57                    |
|Europe       |2022-02-01|155,416.3569078602|55                    |
|North America|2022-02-01|145,911.2729918621|41                    |
|South America|2022-02-01|109,876.9513789559|14                    |
|Oceania      |2022-02-01|56,391.9990331915 |24                    |
|             |2022-02-01|37,004.0455529966 |12                    |
|Asia         |2022-02-01|21,069.6858957674 |51                    |
|Africa       |2022-02-01|7,760.8089370529  |57                    |
|Europe       |2022-02-02|155,416.3569078602|55                    |
|North America|2022-02-02|145,911.2729918621|41                    |
|South America|2022-02-02|109,876.9513789559|14                    |
|Oceania      |2022-02-02|56,391.9990331915 |24                    |
|             |2022-02-02|37,004.0455529966 |12                    |
|Asia         |2022-02-02|21,069.6858957674 |51                    |
|Africa       |2022-02-02|7,760.8089370529  |57                    |
|Europe       |2022-02-03|155,416.3569078602|55                    |
|North America|2022-02-03|145,911.2729918621|41                    |
|South America|2022-02-03|109,876.9513789559|14                    |
|Oceania      |2022-02-03|56,391.9990331915 |24                    |
|             |2022-02-03|37,004.0455529966 |12                    |
|Asia         |2022-02-03|21,069.6858957674 |51                    |
|Africa       |2022-02-03|7,760.8089370529  |57                    |
|Europe       |2022-02-04|155,416.3569078602|55                    |
|North America|2022-02-04|145,911.2729918621|41                    |
|South America|2022-02-04|109,876.9513789559|14                    |
|Oceania      |2022-02-04|56,391.9990331915 |24                    |
|             |2022-02-04|37,004.0455529966 |12                    |
|Asia         |2022-02-04|21,069.6858957674 |51                    |
|Africa       |2022-02-04|7,760.8089370529  |57                    |
|Europe       |2022-02-05|155,416.3569078602|55                    |
|North America|2022-02-05|145,911.2729918621|41                    |
|South America|2022-02-05|109,876.9513789559|14                    |
|Oceania      |2022-02-05|56,391.9990331915 |24                    |
|             |2022-02-05|37,004.0455529966 |12                    |
|Asia         |2022-02-05|21,069.6858957674 |51                    |
|Africa       |2022-02-05|7,760.8089370529  |57                    |
|Europe       |2022-02-06|167,806.2356932411|55                    |
|North America|2022-02-06|150,277.5227130521|41                    |
|South America|2022-02-06|114,837.0298378648|14                    |
|Oceania      |2022-02-06|61,291.7182914763 |24                    |
|             |2022-02-06|39,060.5023447771 |12                    |
|Asia         |2022-02-06|22,047.9709633836 |51                    |
|Africa       |2022-02-06|7,905.9321431588  |57                    |
|Europe       |2022-02-07|167,806.2356932411|55                    |
|North America|2022-02-07|150,277.5227130521|41                    |
|South America|2022-02-07|114,837.0298378648|14                    |
|Oceania      |2022-02-07|61,291.7182914763 |24                    |
|             |2022-02-07|39,060.5023447771 |12                    |
|Asia         |2022-02-07|22,047.9709633836 |51                    |
|Africa       |2022-02-07|7,905.9321431588  |57                    |
|Europe       |2022-02-08|167,806.2356932411|55                    |
|North America|2022-02-08|150,277.5227130521|41                    |
|South America|2022-02-08|114,837.0298378648|14                    |
|Oceania      |2022-02-08|61,291.7182914763 |24                    |
|             |2022-02-08|39,060.5023447771 |12                    |
|Asia         |2022-02-08|22,047.9709633836 |51                    |
|Africa       |2022-02-08|7,905.9321431588  |57                    |
|Europe       |2022-02-09|167,806.2356932411|55                    |
|North America|2022-02-09|150,277.5227130521|41                    |
|South America|2022-02-09|114,837.0298378648|14                    |
|Oceania      |2022-02-09|61,291.7182914763 |24                    |
|             |2022-02-09|39,060.5023447771 |12                    |
|Asia         |2022-02-09|22,047.9709633836 |51                    |
|Africa       |2022-02-09|7,905.9321431588  |57                    |
|Europe       |2022-02-10|167,806.2356932411|55                    |
|North America|2022-02-10|150,277.5227130521|41                    |
|South America|2022-02-10|114,837.0298378648|14                    |
|Oceania      |2022-02-10|61,291.7182914763 |24                    |
|             |2022-02-10|39,060.5023447771 |12                    |
|Asia         |2022-02-10|22,047.9709633836 |51                    |
|Africa       |2022-02-10|7,905.9321431588  |57                    |
|Europe       |2022-02-11|167,806.2356932411|55                    |
|North America|2022-02-11|150,277.5227130521|41                    |
|South America|2022-02-11|114,837.0298378648|14                    |
|Oceania      |2022-02-11|61,291.7182914763 |24                    |
|             |2022-02-11|39,060.5023447771 |12                    |
|Asia         |2022-02-11|22,047.9709633836 |51                    |
|Africa       |2022-02-11|7,905.9321431588  |57                    |
|Europe       |2022-02-12|167,806.2356932411|55                    |
|North America|2022-02-12|150,277.5227130521|41                    |
|South America|2022-02-12|114,837.0298378648|14                    |
|Oceania      |2022-02-12|61,291.7182914763 |24                    |
|             |2022-02-12|39,060.5023447771 |12                    |
|Asia         |2022-02-12|22,047.9709633836 |51                    |
|Africa       |2022-02-12|7,905.9321431588  |57                    |
|Europe       |2022-02-13|177,935.3703032262|55                    |
|North America|2022-02-13|152,799.9203936086|41                    |
|South America|2022-02-13|118,668.9348004498|14                    |
|Oceania      |2022-02-13|65,806.9033513624 |24                    |
|             |2022-02-13|40,693.224461608  |12                    |
|Asia         |2022-02-13|22,919.6229891176 |51                    |
|Africa       |2022-02-13|8,013.0953890341  |57                    |
|Europe       |2022-02-14|177,935.3703032262|55                    |
|North America|2022-02-14|152,799.9203936086|41                    |
|South America|2022-02-14|118,668.9348004498|14                    |
|Oceania      |2022-02-14|65,806.9033513624 |24                    |
|             |2022-02-14|40,693.224461608  |12                    |
|Asia         |2022-02-14|22,919.6229891176 |51                    |
|Africa       |2022-02-14|8,013.0953890341  |57                    |
|Europe       |2022-02-15|177,935.3703032262|55                    |
|North America|2022-02-15|152,799.9203936086|41                    |
|South America|2022-02-15|118,668.9348004498|14                    |
|Oceania      |2022-02-15|65,806.9033513624 |24                    |
|             |2022-02-15|40,693.224461608  |12                    |
|Asia         |2022-02-15|22,919.6229891176 |51                    |
|Africa       |2022-02-15|8,013.0953890341  |57                    |
|Europe       |2022-02-16|177,935.3703032262|55                    |
|North America|2022-02-16|152,799.9203936086|41                    |
|South America|2022-02-16|118,668.9348004498|14                    |
|Oceania      |2022-02-16|65,806.9033513624 |24                    |
|             |2022-02-16|40,693.224461608  |12                    |
|Asia         |2022-02-16|22,919.6229891176 |51                    |
|Africa       |2022-02-16|8,013.0953890341  |57                    |
|Europe       |2022-02-17|177,935.3703032262|55                    |
|North America|2022-02-17|152,799.9203936086|41                    |
|South America|2022-02-17|118,668.9348004498|14                    |
|Oceania      |2022-02-17|65,806.9033513624 |24                    |
|             |2022-02-17|40,693.224461608  |12                    |
|Asia         |2022-02-17|22,919.6229891176 |51                    |
|Africa       |2022-02-17|8,013.0953890341  |57                    |
|Europe       |2022-02-18|177,935.3703032262|55                    |
|North America|2022-02-18|152,799.9203936086|41                    |
|South America|2022-02-18|118,668.9348004498|14                    |
|Oceania      |2022-02-18|65,806.9033513624 |24                    |
|             |2022-02-18|40,693.224461608  |12                    |
|Asia         |2022-02-18|22,919.6229891176 |51                    |
|Africa       |2022-02-18|8,013.0953890341  |57                    |
|Europe       |2022-02-19|177,935.3703032262|55                    |
|North America|2022-02-19|152,799.9203936086|41                    |
|South America|2022-02-19|118,668.9348004498|14                    |
|Oceania      |2022-02-19|65,806.9033513624 |24                    |
|             |2022-02-19|40,693.224461608  |12                    |
|Asia         |2022-02-19|22,919.6229891176 |51                    |
|Africa       |2022-02-19|8,013.0953890341  |57                    |
|Europe       |2022-02-20|185,802.2015878146|55                    |
|North America|2022-02-20|154,349.5927897441|41                    |
|South America|2022-02-20|121,581.2732278934|14                    |
|Oceania      |2022-02-20|70,104.5431675329 |24                    |
|             |2022-02-20|42,002.8181995832 |12                    |
|Asia         |2022-02-20|23,753.319862165  |51                    |
|Africa       |2022-02-20|8,104.2849781865  |57                    |
|Europe       |2022-02-21|185,802.2015878146|55                    |
|North America|2022-02-21|154,349.5927897441|41                    |
|South America|2022-02-21|121,581.2732278934|14                    |
|Oceania      |2022-02-21|70,104.5431675329 |24                    |
|             |2022-02-21|42,002.8181995832 |12                    |
|Asia         |2022-02-21|23,753.319862165  |51                    |
|Africa       |2022-02-21|8,104.2849781865  |57                    |
|Europe       |2022-02-22|185,802.2015878146|55                    |
|North America|2022-02-22|154,349.5927897441|41                    |
|South America|2022-02-22|121,581.2732278934|14                    |
|Oceania      |2022-02-22|70,104.5431675329 |24                    |
|             |2022-02-22|42,002.8181995832 |12                    |
|Asia         |2022-02-22|23,753.319862165  |51                    |
|Africa       |2022-02-22|8,104.2849781865  |57                    |
|Europe       |2022-02-23|185,802.2015878146|55                    |
|North America|2022-02-23|154,349.5927897441|41                    |
|South America|2022-02-23|121,581.2732278934|14                    |
|Oceania      |2022-02-23|70,104.5431675329 |24                    |
|             |2022-02-23|42,002.8181995832 |12                    |
|Asia         |2022-02-23|23,753.319862165  |51                    |
|Africa       |2022-02-23|8,104.2849781865  |57                    |
|Europe       |2022-02-24|185,802.2015878146|55                    |
|North America|2022-02-24|154,349.5927897441|41                    |
|South America|2022-02-24|121,581.2732278934|14                    |
|Oceania      |2022-02-24|70,104.5431675329 |24                    |
|             |2022-02-24|42,002.8181995832 |12                    |
|Asia         |2022-02-24|23,753.319862165  |51                    |
|Africa       |2022-02-24|8,104.2849781865  |57                    |
|Europe       |2022-02-25|185,802.2015878146|55                    |
|North America|2022-02-25|154,349.5927897441|41                    |
|South America|2022-02-25|121,581.2732278934|14                    |
|Oceania      |2022-02-25|70,104.5431675329 |24                    |
|             |2022-02-25|42,002.8181995832 |12                    |
|Asia         |2022-02-25|23,753.319862165  |51                    |
|Africa       |2022-02-25|8,104.2849781865  |57                    |
|Europe       |2022-02-26|185,802.2015878146|55                    |
|North America|2022-02-26|154,349.5927897441|41                    |
|South America|2022-02-26|121,581.2732278934|14                    |
|Oceania      |2022-02-26|70,104.5431675329 |24                    |
|             |2022-02-26|42,002.8181995832 |12                    |
|Asia         |2022-02-26|23,753.319862165  |51                    |
|Africa       |2022-02-26|8,104.2849781865  |57                    |
|Europe       |2022-02-27|191,963.4474082272|55                    |
|North America|2022-02-27|155,365.3182120058|41                    |
|South America|2022-02-27|123,598.6092005429|14                    |
|Oceania      |2022-02-27|75,532.294777935  |24                    |
|             |2022-02-27|43,119.2766676237 |12                    |
|Asia         |2022-02-27|24,636.8382587865 |51                    |
|Africa       |2022-02-27|8,197.544460436   |57                    |
|Europe       |2022-02-28|191,963.4474082272|55                    |
|North America|2022-02-28|155,365.3182120058|41                    |
|South America|2022-02-28|123,598.6092005429|14                    |
|Oceania      |2022-02-28|75,532.294777935  |24                    |
|             |2022-02-28|43,119.2766676237 |12                    |
|Asia         |2022-02-28|24,636.8382587865 |51                    |
|Africa       |2022-02-28|8,197.544460436   |57                    |
|Europe       |2022-03-01|191,963.4474082272|55                    |
|North America|2022-03-01|155,365.3182120058|41                    |
|South America|2022-03-01|123,598.6092005429|14                    |
|Oceania      |2022-03-01|75,532.294777935  |24                    |
|             |2022-03-01|43,119.2766676237 |12                    |
|Asia         |2022-03-01|24,636.8382587865 |51                    |
|Africa       |2022-03-01|8,197.544460436   |57                    |
|Europe       |2022-03-02|191,963.4474082272|55                    |
|North America|2022-03-02|155,365.3182120058|41                    |
|South America|2022-03-02|123,598.6092005429|14                    |
|Oceania      |2022-03-02|75,532.294777935  |24                    |
|             |2022-03-02|43,119.2766676237 |12                    |
|Asia         |2022-03-02|24,636.8382587865 |51                    |
|Africa       |2022-03-02|8,197.544460436   |57                    |
|Europe       |2022-03-03|191,963.4474082272|55                    |
|North America|2022-03-03|155,365.3182120058|41                    |
|South America|2022-03-03|123,598.6092005429|14                    |
|Oceania      |2022-03-03|75,532.294777935  |24                    |
|             |2022-03-03|43,119.2766676237 |12                    |
|Asia         |2022-03-03|24,636.8382587865 |51                    |
|Africa       |2022-03-03|8,197.544460436   |57                    |
|Europe       |2022-03-04|191,963.4474082272|55                    |
|North America|2022-03-04|155,365.3182120058|41                    |
|South America|2022-03-04|123,598.6092005429|14                    |
|Oceania      |2022-03-04|75,532.294777935  |24                    |
|             |2022-03-04|43,119.2766676237 |12                    |
|Asia         |2022-03-04|24,636.8382587865 |51                    |
|Africa       |2022-03-04|8,197.544460436   |57                    |
|Europe       |2022-03-05|191,963.4474082272|55                    |
|North America|2022-03-05|155,365.3182120058|41                    |
|South America|2022-03-05|123,598.6092005429|14                    |
|Oceania      |2022-03-05|75,532.294777935  |24                    |
|             |2022-03-05|43,119.2766676237 |12                    |
|Asia         |2022-03-05|24,636.8382587865 |51                    |
|Africa       |2022-03-05|8,197.544460436   |57                    |
|Europe       |2022-03-06|197,607.4596663027|55                    |
|North America|2022-03-06|156,120.6141173277|41                    |
|South America|2022-03-06|125,076.0482064834|14                    |
|Oceania      |2022-03-06|83,238.7873000559 |24                    |
|             |2022-03-06|44,219.6939207388 |12                    |
|Asia         |2022-03-06|25,651.014191685  |51                    |
|Africa       |2022-03-06|8,244.678702944   |57                    |
|Europe       |2022-03-07|197,607.4596663027|55                    |
|North America|2022-03-07|156,120.6141173277|41                    |
|South America|2022-03-07|125,076.0482064834|14                    |
|Oceania      |2022-03-07|83,238.7873000559 |24                    |
|             |2022-03-07|44,219.6939207388 |12                    |
|Asia         |2022-03-07|25,651.014191685  |51                    |
|Africa       |2022-03-07|8,244.678702944   |57                    |
|Europe       |2022-03-08|197,607.4596663027|55                    |
|North America|2022-03-08|156,120.6141173277|41                    |
|South America|2022-03-08|125,076.0482064834|14                    |
|Oceania      |2022-03-08|83,238.7873000559 |24                    |
|             |2022-03-08|44,219.6939207388 |12                    |
|Asia         |2022-03-08|25,651.014191685  |51                    |
|Africa       |2022-03-08|8,244.678702944   |57                    |
|Europe       |2022-03-09|197,607.4596663027|55                    |
|North America|2022-03-09|156,120.6141173277|41                    |
|South America|2022-03-09|125,076.0482064834|14                    |
|Oceania      |2022-03-09|83,238.7873000559 |24                    |
|             |2022-03-09|44,219.6939207388 |12                    |
|Asia         |2022-03-09|25,651.014191685  |51                    |
|Africa       |2022-03-09|8,244.678702944   |57                    |
|Europe       |2022-03-10|197,607.4596663027|55                    |
|North America|2022-03-10|156,120.6141173277|41                    |
|South America|2022-03-10|125,076.0482064834|14                    |
|Oceania      |2022-03-10|83,238.7873000559 |24                    |
|             |2022-03-10|44,219.6939207388 |12                    |
|Asia         |2022-03-10|25,651.014191685  |51                    |
|Africa       |2022-03-10|8,244.678702944   |57                    |
|Europe       |2022-03-11|197,607.4596663027|55                    |
|North America|2022-03-11|156,120.6141173277|41                    |
|South America|2022-03-11|125,076.0482064834|14                    |
|Oceania      |2022-03-11|83,238.7873000559 |24                    |
|             |2022-03-11|44,219.6939207388 |12                    |
|Asia         |2022-03-11|25,651.014191685  |51                    |
|Africa       |2022-03-11|8,244.678702944   |57                    |
|Europe       |2022-03-12|197,607.4596663027|55                    |
|North America|2022-03-12|156,120.6141173277|41                    |
|South America|2022-03-12|125,076.0482064834|14                    |
|Oceania      |2022-03-12|83,238.7873000559 |24                    |
|             |2022-03-12|44,219.6939207388 |12                    |
|Asia         |2022-03-12|25,651.014191685  |51                    |
|Africa       |2022-03-12|8,244.678702944   |57                    |
|Europe       |2022-03-13|203,758.3478129905|55                    |
|North America|2022-03-13|156,688.4511432805|41                    |
|South America|2022-03-13|126,280.8259205688|14                    |
|Oceania      |2022-03-13|91,835.3547078751 |24                    |
|             |2022-03-13|45,418.3220106829 |12                    |
|Asia         |2022-03-13|26,809.3656733934 |51                    |
|Africa       |2022-03-13|8,293.8863444657  |57                    |
|Europe       |2022-03-14|203,758.3478129905|55                    |
|North America|2022-03-14|156,688.4511432805|41                    |
|South America|2022-03-14|126,280.8259205688|14                    |
|Oceania      |2022-03-14|91,835.3547078751 |24                    |
|             |2022-03-14|45,418.3220106829 |12                    |
|Asia         |2022-03-14|26,809.3656733934 |51                    |
|Africa       |2022-03-14|8,293.8863444657  |57                    |
|Europe       |2022-03-15|203,758.3478129905|55                    |
|North America|2022-03-15|156,688.4511432805|41                    |
|South America|2022-03-15|126,280.8259205688|14                    |
|Oceania      |2022-03-15|91,835.3547078751 |24                    |
|             |2022-03-15|45,418.3220106829 |12                    |
|Asia         |2022-03-15|26,809.3656733934 |51                    |
|Africa       |2022-03-15|8,293.8863444657  |57                    |
|Europe       |2022-03-16|203,758.3478129905|55                    |
|North America|2022-03-16|156,688.4511432805|41                    |
|South America|2022-03-16|126,280.8259205688|14                    |
|Oceania      |2022-03-16|91,835.3547078751 |24                    |
|             |2022-03-16|45,418.3220106829 |12                    |
|Asia         |2022-03-16|26,809.3656733934 |51                    |
|Africa       |2022-03-16|8,293.8863444657  |57                    |
|Europe       |2022-03-17|203,758.3478129905|55                    |
|North America|2022-03-17|156,688.4511432805|41                    |
|South America|2022-03-17|126,280.8259205688|14                    |
|Oceania      |2022-03-17|91,835.3547078751 |24                    |
|             |2022-03-17|45,418.3220106829 |12                    |
|Asia         |2022-03-17|26,809.3656733934 |51                    |
|Africa       |2022-03-17|8,293.8863444657  |57                    |
|Europe       |2022-03-18|203,758.3478129905|55                    |
|North America|2022-03-18|156,688.4511432805|41                    |
|South America|2022-03-18|126,280.8259205688|14                    |
|Oceania      |2022-03-18|91,835.3547078751 |24                    |
|             |2022-03-18|45,418.3220106829 |12                    |
|Asia         |2022-03-18|26,809.3656733934 |51                    |
|Africa       |2022-03-18|8,293.8863444657  |57                    |
|Europe       |2022-03-19|203,758.3478129905|55                    |
|North America|2022-03-19|156,688.4511432805|41                    |
|South America|2022-03-19|126,280.8259205688|14                    |
|Oceania      |2022-03-19|91,835.3547078751 |24                    |
|             |2022-03-19|45,418.3220106829 |12                    |
|Asia         |2022-03-19|26,809.3656733934 |51                    |
|Africa       |2022-03-19|8,293.8863444657  |57                    |
|Europe       |2022-03-20|210,352.2807499686|55                    |
|North America|2022-03-20|157,196.3105228752|41                    |
|South America|2022-03-20|127,260.6923509896|14                    |
|Oceania      |2022-03-20|101,933.3129021093|24                    |
|             |2022-03-20|46,681.3255410928 |12                    |
|Asia         |2022-03-20|28,032.6380412213 |51                    |
|Africa       |2022-03-20|8,323.5001198943  |57                    |
|Europe       |2022-03-21|210,352.2807499686|55                    |
|North America|2022-03-21|157,196.3105228752|41                    |
|South America|2022-03-21|127,260.6923509896|14                    |
|Oceania      |2022-03-21|101,933.3129021093|24                    |
|             |2022-03-21|46,681.3255410928 |12                    |
|Asia         |2022-03-21|28,032.6380412213 |51                    |
|Africa       |2022-03-21|8,323.5001198943  |57                    |
|Europe       |2022-03-22|210,352.2807499686|55                    |
|North America|2022-03-22|157,196.3105228752|41                    |
|South America|2022-03-22|127,260.6923509896|14                    |
|Oceania      |2022-03-22|101,933.3129021093|24                    |
|             |2022-03-22|46,681.3255410928 |12                    |
|Asia         |2022-03-22|28,032.6380412213 |51                    |
|Africa       |2022-03-22|8,323.5001198943  |57                    |
|Europe       |2022-03-23|210,352.2807499686|55                    |
|North America|2022-03-23|157,196.3105228752|41                    |
|South America|2022-03-23|127,260.6923509896|14                    |
|Oceania      |2022-03-23|101,933.3129021093|24                    |
|             |2022-03-23|46,681.3255410928 |12                    |
|Asia         |2022-03-23|28,032.6380412213 |51                    |
|Africa       |2022-03-23|8,323.5001198943  |57                    |
|Europe       |2022-03-24|210,352.2807499686|55                    |
|North America|2022-03-24|157,196.3105228752|41                    |
|South America|2022-03-24|127,260.6923509896|14                    |
|Oceania      |2022-03-24|101,933.3129021093|24                    |
|             |2022-03-24|46,681.3255410928 |12                    |
|Asia         |2022-03-24|28,032.6380412213 |51                    |
|Africa       |2022-03-24|8,323.5001198943  |57                    |
|Europe       |2022-03-25|210,352.2807499686|55                    |
|North America|2022-03-25|157,196.3105228752|41                    |
|South America|2022-03-25|127,260.6923509896|14                    |
|Oceania      |2022-03-25|101,933.3129021093|24                    |
|             |2022-03-25|46,681.3255410928 |12                    |
|Asia         |2022-03-25|28,032.6380412213 |51                    |
|Africa       |2022-03-25|8,323.5001198943  |57                    |
|Europe       |2022-03-26|210,352.2807499686|55                    |
|North America|2022-03-26|157,196.3105228752|41                    |
|South America|2022-03-26|127,260.6923509896|14                    |
|Oceania      |2022-03-26|101,933.3129021093|24                    |
|             |2022-03-26|46,681.3255410928 |12                    |
|Asia         |2022-03-26|28,032.6380412213 |51                    |
|Africa       |2022-03-26|8,323.5001198943  |57                    |
|Europe       |2022-03-27|216,915.9359659288|55                    |
|North America|2022-03-27|157,668.9688908928|41                    |
|South America|2022-03-27|128,017.895580402 |14                    |
|Oceania      |2022-03-27|113,229.6571939457|24                    |
|             |2022-03-27|47,821.0776316735 |12                    |
|Asia         |2022-03-27|28,983.2267235244 |51                    |
|Africa       |2022-03-27|8,350.9479401138  |57                    |
|Europe       |2022-03-28|216,915.9359659288|55                    |
|North America|2022-03-28|157,668.9688908928|41                    |
|South America|2022-03-28|128,017.895580402 |14                    |
|Oceania      |2022-03-28|113,229.6571939457|24                    |
|             |2022-03-28|47,821.0776316735 |12                    |
|Asia         |2022-03-28|28,983.2267235244 |51                    |
|Africa       |2022-03-28|8,350.9479401138  |57                    |
|Europe       |2022-03-29|216,915.9359659288|55                    |
|North America|2022-03-29|157,668.9688908928|41                    |
|South America|2022-03-29|128,017.895580402 |14                    |
|Oceania      |2022-03-29|113,229.6571939457|24                    |
|             |2022-03-29|47,821.0776316735 |12                    |
|Asia         |2022-03-29|28,983.2267235244 |51                    |
|Africa       |2022-03-29|8,350.9479401138  |57                    |
|Europe       |2022-03-30|216,915.9359659288|55                    |
|North America|2022-03-30|157,668.9688908928|41                    |
|South America|2022-03-30|128,017.895580402 |14                    |
|Oceania      |2022-03-30|113,229.6571939457|24                    |
|             |2022-03-30|47,821.0776316735 |12                    |
|Asia         |2022-03-30|28,983.2267235244 |51                    |
|Africa       |2022-03-30|8,350.9479401138  |57                    |
|Europe       |2022-03-31|216,915.9359659288|55                    |
|North America|2022-03-31|157,668.9688908928|41                    |
|South America|2022-03-31|128,017.895580402 |14                    |
|Oceania      |2022-03-31|113,229.6571939457|24                    |
